match_id,home_team,away_team,home_goals,away_goals,result,home_player1,home_player2,home_player3,home_player4,home_player5,home_player6,home_player7,home_player8,home_player9,home_player10,home_player11,home_player12,home_player13,home_player14,away_player1,away_player2,away_player3,away_player4,away_player5,away_player6,away_player7,away_player8,away_player9,away_player10,away_player11,away_player12,away_player13,away_player14
22497,Newcastle United,Leicester City,2,3,-1, Karl Darlow , Florian Lejeune , DeAndre Yedlin , Ciaran Clark , Javier Manquillo , Mikel Merino , Matt Ritchie , Jacob Murphy , Isaac Hayden , Joselu , Dwight Gayle , Christian Atsu , Ayoze Perez , Aleksandar Mitrovic , Kasper Schmeichel , Danny Simpson , Ben Chilwell , Wes Morgan , Harry Maguire , Riyad Mahrez , Wilfred Ndidi , Vicente Iborra , Marc Albrighton , Jamie Vardy , Demarai Gray , Christian Fuchs , Shinji Okazaki , Leonardo Ulloa 
22498,Southampton,Arsenal,1,1,0, Fraser Forster , Virgil van Dijk , Jack Stephens , Ryan Bertrand , Maya Yoshida , Oriol Romeu , Nathan Redmond , Dusan Tadic , Pierre-Emile Hojbjerg , James Ward-Prowse , Charlie Austin , Steven Davis , Sofiane Boufal , Manolo Gabbiadini , Petr Cech , Per Mertesacker , Laurent Koscielny , Nacho Monreal , Aaron Ramsey , Sead Kolasinac , Granit Xhaka , Hector Bellerin , Alexandre Lacazette , Mesut Ozil , Alexis Sanchez , Jack Wilshere , Olivier Giroud , Danny Welbeck 
22499,Swansea City,West Bromwich Albion,1,0,1, Lukasz Fabianski , Kyle Naughton , Martin Olsson , Mike van der Hoorn , Alfie Mawson , Roque Mesa , Ki Sung-yueng , Tom Carroll , Nathan Dyer , Wayne Routledge , Wilfried Bony , Luciano Narsingh , Tammy Abraham , Jordan Ayew , Ben Foster , Ahmed Hegazi , Allan Nyom , Kieran Gibbs , Jonny Evans , Hal Robson-Kanu , Jake Livermore , Sam Field , Claudio Yacob , Salomon Rondon , Jay Rodriguez , Oliver Burke , Chris Brunt , James McClean 
22500,Tottenham Hotspur,Stoke City,5,1,1, Hugo Lloris , Eric Dier , Jan Vertonghen , Kieran Trippier , Ben Davies , Harry Winks , Son Heung-Min , Christian Eriksen , Mousa Dembele , Dele Alli , Harry Kane , Erik Lamela , Moussa Sissoko , Fernando Llorente , Jack Butland , Kurt Zouma , Ryan Shawcross , Kevin Wimmer , Erik Pieters , Thomas Edwards , Joe Allen , Darren Fletcher , Mame Biram Diouf , Eric Maxim Choupo-Moting , Xherdan Shaqiri , Geoff Cameron , Ibrahim Afellay , Peter Crouch 
22501,West Ham United,Chelsea,1,0,1, Adrian , Angelo Ogbonna , Aaron Cresswell , Winston Reid , Arthur Masuaku , Pablo Zabaleta , Mark Noble , Pedro Obiang , Michail Antonio , Manuel Lanzini , Marko Arnautovic , Andre Ayew , Diafra Sakho ,, Thibaut Courtois , Andreas Christensen , Gary Cahill , Cesar Azpilicueta , Cesc Fabregas , Tiemoue Bakayoko , Marcos Alonso , NGolo Kante , Davide Zappacosta , Alvaro Morata , Eden Hazard , Willian , Victor Moses , Pedro 
22502,Burnley,Stoke City,1,0,1, Nick Pope , Stephen Ward , James Tarkowski , Phil Bardsley , Kevin Long , Scott Arfield , Jack Cork , Steven Defour , Johann Gudmundsson , Chris Wood , Jeff Hendrick , Charlie Taylor , Ashley Barnes , Sam Vokes , Jack Butland , Erik Pieters , Ryan Shawcross , Kurt Zouma , Geoff Cameron , Joe Allen , Darren Fletcher , Xherdan Shaqiri , Ramadan Sobhi , Peter Crouch , Mame Biram Diouf , Kevin Wimmer , Eric Maxim Choupo-Moting ,
22503,Crystal Palace,Watford,2,1,1, Julian Speroni , Timothy Fosu-Mensah , Scott Dann , Jeffrey Schlupp , James Tomkins , Luka Milivojevic , Yohan Cabaye , Andros Townsend , Ruben Loftus-Cheek , Christian Benteke , Wilfried Zaha , Patrick van Aanholt , James McArthur , Bakary Sako , Heurelho Gomes , Christian Kabasele , Adrian Mariappa , Sebastian Prodl , Daryl Janmaat , Abdoulaye Doucoure , Jose Holebas , Tom Cleverley , Andre Carrillo , Richarlison , Troy Deeney , Kiko Femenia  , Roberto Pereyra , Andre Gray 
22504,Huddersfield Town,Chelsea,1,3,-1, Jonas Lossl , Tommy Smith , Christopher Schindler , Zanka , Chris Lowe , Aaron Mooy , Tom Ince , Jonathan Hogg , Elias Kachunga , Danny Williams , Steve Mounie , Florent Hadergjonaj , Dean Whitehead , Laurent Depoitre , Thibaut Courtois , Cesar Azpilicueta , Andreas Christensen , Antonio Rudiger , Victor Moses , NGolo Kante , Tiemoue Bakayoko , Marcos Alonso , Willian , Eden Hazard , Pedro , Ethan Ampadu , Daniel Drinkwater , Michy Batshuayi 
22505,Manchester United,AFC Bournemouth,1,0,1, David de Gea , Antonio Valencia , Phil Jones , Chris Smalling , Luke Shaw , Jesse Lingard , Scott McTominay , Anthony Martial , Juan Mata , Nemanja Matic , Romelu Lukaku , Ashley Young , Ander Herrera , Marcus Rashford , Asmir Begovic , Charlie Daniels , Nathan Ake , Simon Francis , Adam Smith , Harry Arter , Ryan Fraser , Dan Gosling , Junior Stanislas , Joshua King , Callum Wilson , Lewis Cook , Benik Afobe , Jermain Defoe 
22506,Swansea City,Manchester City,0,4,-1, Lukasz Fabianski , Kyle Naughton , Martin Olsson , Mike van der Hoorn , Alfie Mawson , Roque Mesa , Jordan Ayew , Nathan Dyer , Ki Sung-yueng , Tom Carroll , Wilfried Bony , Luciano Narsingh , Leroy Fer , Tammy Abraham , Ederson , Nicolas Otamendi , Fabian Delph , Eliaquim Mangala , Danilo , Kevin De Bruyne , David Silva , Fernandinho , Bernardo Silva , Raheem Sterling , Sergio Aguero , Ilkay Gundogan , Oleksandr Zinchenko , Yaya Toure 
