match_id,home_team,away_team,home_goals,away_goals,result,home_player1,home_player2,home_player3,home_player4,home_player5,home_player6,home_player7,home_player8,home_player9,home_player10,home_player11,home_player12,home_player13,home_player14,away_player1,away_player2,away_player3,away_player4,away_player5,away_player6,away_player7,away_player8,away_player9,away_player10,away_player11,away_player12,away_player13,away_player14
38381,FulhamFUL,Arsenal,1,5,-1, Marcus Bettinelli , Tim Ream , Denis Odoi , Maxime Le Marchand , André-Frank Zambo Anguissa , Jean Michael Seri , Cyrus Christie , Ryan Sessegnon , Luciano Vietto , Aleksandar Mitrovic , André Schürrle , Kevin McDonald , Stefan Johansen , Aboubakar Kamara , Bernd Leno , Nacho Monreal , Héctor Bellerín , Shkodran Mustafi , Rob Holding , Henrikh Mkhitaryan , Lucas Torreira , Alex Iwobi , Granit Xhaka , Alexandre Lacazette , Danny Welbeck , Matteo Guendouzi , Aaron Ramsey , Pierre-Emerick Aubameyang 
38382,Leicester City,Everton,1,2,-1, Kasper Schmeichel , Harry Maguire , Ben Chilwell , Daniel Amartey , Wes Morgan , Ricardo Pereira , Nampalys Mendy , Wilfred Ndidi , James Maddison , Kelechi Iheanacho , Jamie Vardy , Rachid Ghezzal , Marc Albrighton , Shinji Okazaki , Jordan Pickford , Lucas Digne , Jonjoe Kenny , Michael Keane , Kurt Zouma , Gylfi Sigurdsson , Idrissa Gueye , Tom Davies , Bernard  , Theo Walcott  , Richarlison , Morgan Schneiderlin  , Cenk Tosun , Dominic Calvert-Lewin  
38383,Liverpool,Manchester City,0,0,0, Alisson , Dejan Lovren , Joseph Gomez , Andrew Robertson , Virgil van Dijk , Georginio Wijnaldum , Jordan Henderson , James Milner , Mohamed Salah , Roberto Firmino , Sadio Mané , Naby Keita , Daniel Sturridge ,, Ederson , Benjamin Mendy , John Stones , Kyle Walker , Aymeric Laporte , Fernandinho , Bernardo Silva , Riyad Mahrez , Raheem Sterling , David Silva , Sergio Agüero , Gabriel Jesus , Leroy Sané ,
38384,Manchester United,Newcastle United,3,2,1, David de Gea , Ashley Young , Chris Smalling , Eric Bailly , Luke Shaw , Paul Pogba , Scott McTominay , Nemanja Matic , Romelu Lukaku , Anthony Martial , Marcus Rashford , Marouane Fellaini , Juan Mata , Alexis Sánchez , Martin Dubravka , Javier Manquillo , DeAndre Yedlin , Federico Fernández , Jamaal Lascelles , Kenedy , Mohamed Diamé , Matt Ritchie , Jonjo Shelvey , Yoshinori Muto , Ayoze Pérez , Christian Atsu , Jacob Murphy , Joselu 
38385,Southampton,Chelsea,0,3,-1, Alex McCarthy , Jan Bednarek , Maya Yoshida , Wesley Hoedt , Pierre-Emile Højbjerg , Ryan Bertrand , Cédric Soares , Mario Lemina , Danny Ings , Manolo Gabbiadini , Nathan Redmond , Oriol Romeu , Shane Long ,, Kepa Arrizabalaga , César Azpilicueta , Marcos Alonso , David Luiz , Antonio Rüdiger , NGolo Kanté , Ross Barkley , Jorginho , Willian , Eden Hazard , Olivier Giroud , Mateo Kovacic , Pedro , Álvaro Morata 
38386,Tottenham Hotspur,Cardiff CityCAR,1,0,1, Hugo Lloris , Danny Rose , Kieran Trippier , Toby Alderweireld , Davinson Sánchez , Harry Winks , Eric Dier , Son Heung-Min , Moussa Sissoko , Harry Kane , Lucas Moura , Ben Davies , Erik Lamela , Victor Wanyama , Neil Etheridge , Bruno Ecuele Manga , Sol Bamba , Joe Bennett , Sean Morrison , Víctor Camarasa , Joe Ralls , David Junior Hoilett , Harry Arter , Josh Murphy , Callum Paterson , Bobby De Cordova-Reid , Kadeem Harris , Danny Ward 
38387,Watford,AFC Bournemouth,0,4,-1, Ben Foster , Christian Kabasele , José Holebas , Kiko Femenía , Craig Cathcart , Etienne Capoue , Roberto Pereyra , Abdoulaye Doucouré , Will Hughes , Troy Deeney , Andre Gray , Adrian Mariappa , Gerard Deulofeu , Isaac Success , Asmir Begovic , Simon Francis , Nathan Aké , Steve Cook , Adam Smith , Ryan Fraser , Lewis Cook , David Brooks , Jefferson Lerma , Joshua King , Callum Wilson , Junior Stanislas , Andrew Surman , Dan Gosling 
38388,Arsenal,Leicester City,3,1,1, Bernd Leno , Stephan Lichtsteiner , Héctor Bellerín , Rob Holding , Shkodran Mustafi , Lucas Torreira , Alex Iwobi , Henrikh Mkhitaryan , Mesut Özil , Granit Xhaka , Alexandre Lacazette , Matteo Guendouzi , Aaron Ramsey , Pierre-Emerick Aubameyang , Kasper Schmeichel , Jonny Evans , Daniel Amartey , Harry Maguire , Ben Chilwell , Nampalys Mendy , Wilfred Ndidi , Ricardo Pereira , James Maddison , Kelechi Iheanacho , Jamie Vardy , Rachid Ghezzal , Marc Albrighton , Shinji Okazaki 
38389,AFC Bournemouth,Southampton,0,0,0, Asmir Begovic , Nathan Aké , Adam Smith , Steve Cook , Simon Francis , David Brooks , Jefferson Lerma , Ryan Fraser , Lewis Cook , Callum Wilson , Joshua King , Dan Gosling , Jordon Ibe , Junior Stanislas , Alex McCarthy , Cédric Soares , Ryan Bertrand , Wesley Hoedt , Jack Stephens , Pierre-Emile Højbjerg , Mohamed Elyounoussi , Nathan Redmond , Mario Lemina , Charlie Austin , Danny Ings , Stuart Armstrong , Manolo Gabbiadini , Shane Long 
38390,Cardiff CityCAR,FulhamFUL,4,2,1, Neil Etheridge , Sol Bamba , Joe Bennett , Sean Morrison , Bruno Ecuele Manga , Víctor Camarasa , Aron Gunnarsson , Josh Murphy , Harry Arter , Callum Paterson , Bobby De Cordova-Reid , Jazz Richards , Kadeem Harris , Loïc Damour , Marcus Bettinelli , Tim Ream , Calum Chambers , Maxime Le Marchand , Denis Odoi , Kevin McDonald , Jean Michael Seri , Stefan Johansen , André Schürrle , Ryan Sessegnon , Aleksandar Mitrovic , Alfie Mawson , Floyd Ayité , Luciano Vietto 
